ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
xXQ8DrjUpkc,2020-09-04T13:21:59+00:00
lGtJ4-_2hOM,2020-09-04T22:36:46+00:00
srzfIM23CNc,2020-09-08T10:59:27+00:00
XuEcQst4yFQ,2020-09-09T14:17:03+00:00
3jC-ipfoEHE,2020-09-13T22:33:57+00:00
wF-xmiFPQQY,2020-09-14T00:26:35+00:00
1RejBzwBm7c,2020-09-17T11:42:21+00:00
rwo_m2Vp5pM,2020-09-17T16:44:55+00:00
KQrqfWDVooc,2020-09-25T01:17:44+00:00
zMe9W8gFWQY,2020-09-28T23:28:40+00:00
MdlC0qmh-V8,2020-10-13T14:35:09+00:00
OWLSx1zQjzk,2020-10-13T19:56:35+00:00
vt6bhYTvnOo,2020-10-13T23:17:46+00:00
j9cSuXmmyMI,2020-10-13T23:18:47+00:00
jqg_hhR7w30,2020-10-14T02:47:39+00:00
KFFJrvCfevM,2020-10-14T10:58:40+00:00
l0l3KvsFHvc,2020-10-14T11:25:09+00:00
IVgmTW9CXSI,2020-10-14T14:25:17+00:00
B-TD1H0DO_k,2020-10-16T16:15:04+00:00
pA2St0cQJR8,2020-10-18T23:33:28+00:00
akfpPF-hSBY,2020-10-22T19:52:42+00:00
uNavHM3b2nI,2020-10-24T20:05:03+00:00
uLXQmWnujmk,2020-10-25T21:45:03+00:00
XHYc0WZE_b4,2020-10-29T02:18:34+00:00
BVuJuvzeHrc,2020-11-08T00:10:59+00:00
xCzCxm13Mms,2020-11-08T13:01:50+00:00
2RNDJEdLHMQ,2020-11-12T09:35:29+00:00
SW7Lj_T23OA,2020-11-12T17:22:00+00:00
q1oflmX1SrI,2020-11-16T01:57:04+00:00
apXznwP8GW0,2020-11-21T23:18:28+00:00
TH0erBw-RBo,2020-11-24T00:50:51+00:00
MC3d1ZThdqY,2020-11-26T15:33:39+00:00
dJvlRYg_jOA,2020-11-28T01:35:52+00:00
sTfzFojIEOI,2020-12-16T22:16:57+00:00
e3F3DRzEzO0,2020-12-23T02:08:52+00:00
Ofa5pGaj1jA,2020-12-24T14:03:46+00:00
kxzgTDz65Ew,2020-12-30T01:39:07+00:00
XCvwEJmNyfI,2021-01-01T22:46:08+00:00
Tart5uvChdo,2021-01-12T10:29:08+00:00
yB12oaNNcKA,2021-01-26T02:52:58+00:00
RWnjPbV0dvw,2021-02-06T01:57:23+00:00
rGEYcanH1xQ,2021-02-07T22:05:37+00:00
fby_PkAZk30,2021-02-09T00:45:25+00:00
QAkZtrFqCb4,2021-02-13T16:15:43+00:00
aOE94SqSO7I,2021-02-17T03:26:13+00:00
MF39Q65NHAE,2021-02-17T15:07:30+00:00
Qm6N502XxtI,2021-03-04T00:01:58+00:00
BLwGGmn6fvU,2021-04-01T02:37:01+00:00
QUX4vm_3GS0,2021-04-01T02:37:04+00:00
hblXIw4_bvg,2021-04-01T02:37:21+00:00
Xh-LEk0rAXM,2021-04-27T00:44:48+00:00
hbTU7sumJXg,2021-05-08T18:43:49+00:00
D7otk8tAeYQ,2021-05-27T01:25:45+00:00
CEORz4kMNIo,2021-05-29T18:58:00+00:00
WIPD2yvC1CI,2021-06-01T02:07:47+00:00
NsusxmUavuY,2021-06-24T00:48:57+00:00
rbun9uziwd4,2021-10-18T16:15:52+00:00
TPQhrJ2Z-j8,2022-01-25T23:35:17+00:00
E6gIrvQdCnk,2022-05-08T20:15:30+00:00
4UbV75SZJTE,2023-02-07T23:38:10+00:00
OzR9MpVtF-s,2023-02-09T22:41:07+00:00
0pKyaP1F7d4,2023-02-24T18:06:50+00:00
OLFQy5kb0QE,2023-02-25T00:38:49+00:00
UE-sOtlChi8,2023-02-26T03:42:18+00:00
Hy72x0U-mjU,2023-11-13T02:25:05+00:00
jvv1EBkgQGE,2024-04-28T22:16:12+00:00
EoZ3hPxMjX8,2025-08-26T23:41:09+00:00





